               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.016732,            0.017723,                   0,             0.97826,             0.95066,             0.98214,             0.84002,            0.012994,            0.019547,                   0,             0.00325,             0.00325,             0.07075
                   1,             0.02161,            0.020033,                   0,             0.97122,             0.95069,             0.97621,             0.77401,            0.020782,            0.021677,                   0,           0.0065616,           0.0065616,            0.040728
                   2,            0.029399,            0.021856,                   0,             0.94276,             0.93662,             0.97475,             0.64359,            0.027645,            0.023457,                   0,           0.0098512,           0.0098512,            0.010685
                   3,            0.030993,            0.022818,                   0,             0.97143,             0.95773,             0.97203,              0.6205,            0.027698,             0.02479,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.028617,             0.02203,                   0,             0.97101,             0.94357,             0.97564,             0.68255,            0.025635,            0.029379,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.030879,             0.02558,                   0,             0.96426,              0.9507,             0.98639,             0.64526,            0.031127,             0.02591,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.033066,            0.024429,                   0,              0.9781,             0.94362,             0.97639,             0.67489,            0.023804,            0.025156,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.029063,            0.022976,                   0,             0.98524,             0.94366,             0.97625,             0.67527,            0.029242,            0.025349,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.029681,            0.022809,                   0,             0.97122,             0.95069,             0.97403,             0.74049,            0.022684,            0.024779,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.029357,            0.020771,                   0,              0.9854,             0.95057,             0.98003,             0.67231,            0.024898,            0.024776,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.030833,            0.022691,                   0,             0.97159,             0.96479,             0.98069,             0.76309,            0.021432,            0.025252,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.029695,            0.022438,                   0,             0.97163,             0.96477,             0.98364,             0.70194,             0.02562,            0.024618,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.029532,            0.022427,                   0,             0.97794,             0.93659,             0.96895,             0.66999,            0.026469,            0.025706,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.030304,            0.021558,                   0,             0.97887,             0.97882,             0.98171,             0.72111,            0.023551,            0.023009,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.030441,            0.022608,                   0,             0.96394,             0.94366,             0.97136,             0.71286,            0.021663,            0.023384,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.026282,            0.019757,                   0,             0.97142,             0.95775,             0.98287,             0.78005,            0.018917,            0.023808,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.025981,             0.02103,                   0,             0.96503,             0.97176,             0.97965,             0.74758,            0.020698,            0.023287,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.027482,             0.02144,                   0,             0.97143,             0.95767,             0.96523,             0.72542,            0.025854,            0.024961,                   0,            0.009472,            0.009472,            0.009472
                  18,             0.02692,            0.020818,                   0,              0.9781,             0.94364,             0.97256,             0.71566,            0.021673,            0.024881,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.027354,            0.020678,                   0,             0.96454,             0.95765,             0.97323,             0.71887,            0.023905,            0.024295,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.026953,            0.021191,                   0,             0.96428,             0.95065,             0.97285,             0.76265,            0.021039,            0.024333,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.026671,            0.021169,                   0,             0.96992,             0.90836,             0.96089,             0.74609,            0.021425,            0.026337,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.025908,            0.020734,                   0,             0.98538,              0.9507,             0.97658,             0.71407,            0.023952,            0.024584,                   0,            0.009307,            0.009307,            0.009307
                  23,             0.02608,            0.021106,                   0,             0.96499,             0.97183,              0.9749,             0.73782,            0.022404,            0.024638,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.026671,            0.020372,                   0,             0.97835,             0.95775,               0.974,             0.71787,            0.023502,            0.025463,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.026097,            0.020493,                   0,             0.97121,              0.9507,             0.97501,             0.72078,            0.025507,            0.025413,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.025898,            0.020171,                   0,             0.97825,             0.95041,             0.97614,             0.76297,            0.019534,            0.023823,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.025177,            0.020844,                   0,             0.97826,             0.95061,             0.97636,             0.75553,            0.019283,             0.02272,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.024324,            0.019632,                   0,             0.98561,             0.96477,             0.97275,             0.73905,            0.021867,            0.022983,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.025252,            0.018776,                   0,             0.98559,             0.96479,             0.97214,             0.77769,            0.021379,            0.023659,                   0,            0.009076,            0.009076,            0.009076
                  30,             0.02388,            0.019652,                   0,              0.9779,             0.93662,             0.97508,             0.79411,            0.018492,            0.023194,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.022327,            0.020327,                   0,             0.96372,             0.93662,             0.97433,             0.79388,            0.016761,            0.022214,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.022978,            0.018946,                   0,             0.97778,             0.92954,             0.97716,             0.77644,            0.018526,            0.022621,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.024968,             0.01928,                   0,             0.97163,             0.96469,             0.97805,             0.78983,            0.020089,            0.022525,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.024722,            0.019106,                   0,             0.95803,             0.96479,             0.97876,             0.77765,            0.019173,            0.023036,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.023612,            0.019836,                   0,             0.98548,             0.95775,             0.97985,             0.77818,            0.019411,            0.022109,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.022603,            0.020151,                   0,             0.98489,             0.92254,             0.97397,              0.7901,            0.017423,            0.022466,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.020568,              0.0178,                   0,             0.96428,             0.95067,              0.9688,             0.75477,             0.01992,             0.02247,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.022358,            0.018693,                   0,             0.96491,             0.97183,             0.97624,             0.78868,            0.019259,             0.02274,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.022207,            0.018747,                   0,              0.9781,              0.9436,             0.97343,             0.76351,            0.019446,            0.023434,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.022628,            0.019659,                   0,             0.94366,             0.94366,             0.96722,             0.78844,             0.01926,            0.023462,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.021798,            0.019378,                   0,             0.97791,             0.93662,             0.96887,             0.76761,             0.02026,            0.022426,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.021882,            0.017823,                   0,             0.95619,             0.92254,             0.96704,             0.79959,            0.017649,            0.022624,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.021481,            0.018393,                   0,             0.96474,             0.96479,             0.97463,             0.77746,            0.020064,            0.022859,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.021694,            0.018217,                   0,             0.96374,             0.93662,             0.97336,             0.76927,            0.019011,            0.022126,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.021611,             0.01922,                   0,             0.98526,             0.94366,             0.97286,             0.79833,            0.016406,            0.021222,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.021409,            0.019326,                   0,             0.95861,             0.97887,             0.98647,             0.78408,            0.017974,            0.021983,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.022162,              0.0201,                   0,             0.97872,             0.97168,             0.97927,             0.77918,            0.017588,            0.022517,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.022775,            0.018715,                   0,             0.96527,             0.97875,             0.98029,             0.75258,            0.021388,            0.022754,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.023298,            0.018043,                   0,             0.97163,              0.9647,             0.97503,             0.78138,            0.017312,            0.022838,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.022293,            0.017696,                   0,             0.93876,             0.97151,             0.97522,             0.79374,             0.01808,            0.022656,                   0,            0.008383,            0.008383,            0.008383
                  51,             0.02147,            0.017561,                   0,             0.98529,             0.94362,             0.97297,             0.78256,            0.017241,            0.022644,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.021102,            0.017966,                   0,             0.94403,             0.95775,             0.97473,             0.79909,            0.016088,            0.022354,                   0,            0.008317,            0.008317,            0.008317
                  53,             0.02087,            0.017388,                   0,             0.96449,             0.95775,             0.97551,             0.78756,            0.017291,            0.022877,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.022673,            0.018557,                   0,             0.95744,             0.95056,             0.97474,             0.81181,             0.01655,            0.022043,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.021801,            0.018425,                   0,             0.97203,             0.97882,             0.98334,             0.79763,            0.017959,            0.021863,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.021429,            0.018165,                   0,             0.95172,             0.97173,             0.97499,             0.79704,            0.017102,            0.022957,                   0,            0.008185,            0.008185,            0.008185
